1583,beer,lager,none,laver,,category
4239,beer,dry hard cider,none,hard cider,,beer
982,bread,challa,none,callau,,bitters
1330,bread,italian loaf,none,italian tomato,,bread
1374,bread,italian roll,none,italian marrow,,cakes
1901,bread,pita,none,pitaya,,candy
2691,bread,sesame seed bun,none,sesame seed,,category
3037,bread,whole grain bread,none,whole grain rice,,chocolate
3039,bread,whole grain roll,none,whole grain rice,,condiments
3041,bread,whole grain bun,none,whole grain rice,,cookies
3471,bread,chinese bun,none,chinese yuba,,crackers
4331,bread,whole wheat bun,none,whole wheat flour,,dairy
4442,bread,whole wheat bread,none,whole wheat pasta,,dairy-butters
4443,bread,whole wheat pita,none,whole wheat pasta,,dairy-cheese
4447,bread,whole wheat pita bread,none,whole wheat pasta,,dairy-cultured
4451,bread,whole wheat baguette,none,whole wheat pasta,,dairy-egg
4453,bread,whole wheat pita round,none,whole wheat pasta,,dairy-milk
4454,bread,whole wheat wrap,none,whole wheat pasta,,dairy-non
4455,bread,whole wheat potato bun,none,whole wheat pasta,,extract
4456,bread,whole wheat peasant bread,none,whole wheat pasta,,extracts
4470,bread,crostini,none,rotini,,flours
4522,bread,sourdough,none,bourek dough,,flowers
4648,bread,potato bread,none,pilot bread,,fruit
4650,bread,pocket bread,none,pilot bread,,fruit-berries
4652,bread,egg bread,none,sea bread,,fruit-candy
4654,bread,levain bread,none,sea bread,,fruit-citrus
4656,bread,white bread,bread,ship bread,,fruit-dry
4661,bread,tortilla wrap,none,tortilla chip,,fruit-juice
4664,bread,biscuit,none,triscuit,,fruit-melons
4784,bread,sandwich bread,none,sandwich steak,,fruit-pome
4800,bread,hamburger bun,none,hamburger,,fruit-preserves
4847,bread,deli roll,none,loin roll,,fruit-stone
4857,bread,round loaf,none,ground lamb,,fruit-tropical
4903,bread,hot dog bun,none,hot dog,,fruits-preserves
4960,bread,country loaf,none,country ham,,herbs
4999,bread,wheat bread,none,sweetbread,,legumes
3088,cakes,pecan pie,none,pecan rice,,legumes-nuts
3390,candy,peanut brittle,none,peanut butter,,liquor
3392,candy,peanut butter chip,none,peanut butter,,meat-bacon
3619,candy,ice cream,none,ice cream salt,,meat-beef
4607,chocolate,chocolate sauce,none,chocolate wafer,,meat-coldcuts
4608,chocolate,chocolate bar,none,chocolate wafer,,meat-lamb
4609,chocolate,chocolate glaze,none,chocolate wafer,,meat-miscellaneous
4611,chocolate,chocolate leaf,none,chocolate wafer,,meat-other
1012,condiments,creole mustard,none,curled mustard,,meat-pork
1016,condiments,dijon mustard,general,indian mustard,,meat-poultry
1514,condiments,cayenne pepper sauce,none,cayenne pepper,,meat-sausage
1580,condiments,katsuo dashi,none,katsuo bushi,,meat-veal
1833,condiments,harissa,none,carissa,,miscellaneous
2049,condiments,curry sauce,none,cranberry sauce,,oils
2685,condiments,mustard sauce,none,mustard seed,,salt
2687,condiments,brown mustard,none,brown mustard seed,,seafood-caviar
2981,condiments,stone ground mustard,none,stone ground meal,,seafood-fish
3230,condiments,yellow mustard,none,yellow matar dal,,seafood-shellfish
3400,condiments,poppy seed dressing,none,poppy seed filling,,seeds
3453,condiments,peanut sauce,none,bean sauce,,seeds-barley
3495,condiments,canola mayonnaise,none,soya mayonnaise,,seeds-buckwheat
3497,condiments,low-fat mayonnaise,none,tofu mayonnaise,,seeds-corn
3499,condiments,nonfat mayonnaise,none,tofu mayonnaise,,seeds-grain
3525,condiments,sweet soy,none,sweet miso,,seeds-oats
3599,condiments,coarse ground mustard,none,coarsely ground salt,,seeds-rice
3645,condiments,chinese mustard,none,chinese sugar,,seeds-rye
4421,condiments,green pesto,none,green pasta,,seeds-spelt
4435,condiments,pasta sauce,general,pasta lisce,,seeds-wheat
4552,condiments,meat sauce,none,meat glace,,spices
4554,condiments,mint jelly,none,meat jelly,,sugars
4557,condiments,chicken gravy,none,chicken glace,,sweetener
4758,condiments,bread and butter pickle,none,bread and butter cut,,thickeners
4759,condiments,english mustard,none,english steak,,vegetable-avocados
4915,condiments,italian sauce,none,italian sausage,,vegetable-bean
4927,condiments,pepperoncini,none,pepperoni,,vegetable-ben
4928,condiments,peperoncini,none,pepperoni,,vegetable-cabbage
4930,condiments,pepperocini,none,pepperoni,,vegetable-cucumber
4936,condiments,pickle spear,none,pickle meat,,vegetable-eggplant
3021,cookies,brownie,none,brown rice,,vegetable-flower
3312,dairy,aioli,none,fagioli,,vegetable-fruits
3437,dairy,meringue powder,none,praline powder,,vegetable-garlic
2061,dairy-butters,truffle butter,none,prune butter,,vegetable-ginger
3388,dairy-butters,vegan butter,none,peanut butter,,vegetable-greens
4638,dairy-butters,butter fat,dairy,butter cake,,vegetable-herb
978,dairy-cheese,lappi,cheese,rappi,,vegetable-mushrooms
